Title,Variant,Mileage,Fuel,Transmission,Location,Price,Local Price,Seller's Number,Seller's Logo
Mazda CX-5 2017,Mazda Cx5 2017 Sport,123760 kms,Diesel,Automatic,harare south,"$22,500",negotiable,+263775813151,Bliz Global Trading
Toyota Hilux 2012,Toyota Hilux 3.0ltr D4D,158000 kms,Diesel,Automatic,harare north,"$18,500",negotiable,+263772809485,Luxury Auto
Mercedes Benz GLE53S 2022,Mercedes benz gle53,34000 kms,Petrol,Automatic,harare cbd,"$140,000",negotiable,+263773382019,Fincron Motors
Nissan Serena 2017,Nissan Serena,78600 kms,Petrol,Automatic,harare north,"$12,500",negotiable,+263772809485,Luxury Auto
Honda Fit 2002,Fit GD1 Super Clean,155000 kms,Petrol,Automatic,harare west,"$5,900",,+263773025268,Mars Motors
Ford Ranger 2025,Ford Ranger T10 4X4,16 kms,Diesel,Automatic,harare north,"$67,000",,+263772809485,Luxury Auto
Toyota Hilux 2018,Toyota Hilux GD6 2.8 4x4,138000 kms,Diesel,Automatic,harare north,"$31,000",negotiable,+263772809485,Luxury Auto
Mazda CX5 2016,Mazda CX5,96700 kms,Diesel,Automatic,harare north,"$16,500",negotiable,+263772809485,Luxury Auto
Toyota Hilux 2024,Toyota hilux,31000 kms,Diesel,Automatic,harare cbd,"$65,000",,+263785260810,Bargain Cars
Mazda CX5 2016,Mazda CX5,88350 kms,Diesel,Automatic,harare north,"$15,500",negotiable,+263772809485,Luxury Auto
Toyota Land Cruiser 2018,Toyota Landcruise 79 series straight 6 super clean,167000 kms,Diesel,Manual,harare west,"$45,000",,+263773025268,Mars Motors
Nissan Caravan 2017,NV350 Caravan Diesel Engine Super Clean,87000 kms,Diesel,Automatic,harare west,"$18,500",,+263773025268,Mars Motors
Land Rover Discovery 2019,Pearl white Land Rover Discovery 5 – Diesel | Low Mileage | Excellent Condition,87300 kms,Diesel,Automatic,harare north,"$34,000",negotiable,+263771133546,
BMW X3 2019,BMW x3 XDrive M Spot Power Driver Super Clean Recently,53000 kms,Diesel,Automatic,harare west,"$35,000",,+263773025268,Mars Motors
BMW IX 2019,BMW X1 M series Super Clean,78000 kms,Diesel,Automatic,harare west,"$19,700",,+263773025268,Mars Motors
Toyota Hilux 2020,"A well looked after single cab,extras include allo...",81000 kms,Diesel,Manual,bulawayo cbd industrial,"$34,500",,+263774178866,Motordeals
Toyota Fielder 2017,Toyota filder  Hybrid,115428 kms,Hybrid,Automatic,harare south,"$13,800",negotiable,+263775813151,Bliz Global Trading
Lexus GX550 2025,Lexus GX 550 brand new,Petrol,Automatic,harare cbd,,"$180,000",negotiable,+263773382019,Fincron Motors
Mazda Axela 2010,Mazda  Axela  Sport,149007 kms,Petrol,Automatic,harare cbd,"$5,400",,+263772719986,
Range rover Vogue 2025,Range Rover Vogue,2000 kms,Diesel,Automatic,harare cbd,"$265,000",,+263773382019,Fincron Motors
BMW IX 2019,BMW X1 M series Super Clean,78000 kms,Diesel,Automatic,harare west,"$19,700",,+263773025268,Mars Motors
Isuzu KB300 2017,2017 Model Isuzu kb300 Dtek,149033 kms,Diesel,Automatic,harare cbd,"$22,800",negotiable,+263717627971,Classic Auto Trader
VW Caravelle 1996,Volkswagen Caravelle 2.5i Minivan - 1996,169500 kms,Petrol,Manual,harare north,"$8,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Land Cruiser 2013,4x4 Automatic,249000 kms,Diesel,Automatic,bulawayo cbd industrial,"$48,000",,+263774178866,Motordeals
Isuzu KB300 2007,"Isuzu KB300 LX
2007 Model
Manual Transmission 4x...",Diesel,Manual,harare north,,"$14,000",negotiable,+263785766437,Patch Auto Dealership
Toyota Legend 2024,Toyota Legend,75334 kms,Diesel,Automatic,harare cbd,"$65,800",negotiable,+263717627971,Classic Auto Trader
Nissan Patrol 2018,"Nissan Patrol
2018 Model
Manual Transmission 4x4...",Diesel,Manual,harare north,,"$25,000",negotiable,+263785766437,Patch Auto Dealership
Mercedes Benz E-Class 2017,Mercedes Benz,83490 kms,Petrol,Automatic,harare east,"$48,000",negotiable,+263783590808,Masons Motors
Ford Ranger 2025,Ford Ranger T10 4X4,16 kms,Diesel,Automatic,harare north,"$67,000",,+263772809485,Luxury Auto
Toyota Land Cruiser 2018,Toyota Landcruiser Prado,76112 kms,Diesel,Automatic,harare east,"$68,000",negotiable,+263783590808,Masons Motors
Isuzu KB300 2017,Isuzu kb 300,131000 kms,Diesel,Automatic,harare cbd,"$32,800",negotiable,+263717627971,Classic Auto Trader
Land Rover Discovery 2019,Landrover Discovery HSE TD6 7-Seater SUV - 2019,74375 kms,Diesel,Automatic,harare north,"$48,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Sienta 2017,Toyota Sienta,130420 kms,Petrol,Automatic,harare east,"$12,700",negotiable,+263783590808,Masons Motors
Toyota Land Cruiser 2024,Land cruiser  300 series ZX,12000 kms,Petrol,Automatic,harare east,"$157,000                                                                                                                                                                                      $160000",negotiable,+263776621574,King Car Sales
Toyota Rav4 2010,Toyota Rav4 5-Seater SUV - 2010,168305 kms,Petrol,Automatic,harare north,"$10,500",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Hilux 2018,Toyota Hilux GD6 Single Cab Diesel / swap plus cas...,92000 kms,Diesel,Manual,harare north,"$28,500",,+263772513251,
Lexus GX550 2026,"Just landed 
Choice of 2
New Lexus Gx550 
Brand...",Diesel,Automatic,harare east,,"$210,000",negotiable,+263773476723,Stone River Motors
Mazda CX-5 2017,"Mazda CX-5
2017 Model
Automatic Transmission 
2...",103000 kms,Diesel,Automatic,harare north,"$18,500",negotiable,+263785766437,Patch Auto Dealership
Honda Fit 2015,HONDA FIT,2 kms,Petrol,Automatic,harare east,"$5,000",negotiable,+263774885378,BG Auctions
Isuzu KB250 2018,Isuzu kb25 d'tek,116000 kms,Diesel,Manual,harare cbd,"$29,800",negotiable,+263717627971,Classic Auto Trader
Toyota Hilux 2019,Toyota Hilux 2.4GD6 4x4 Double Cab - 2019,82835 kms,Diesel,Manual,harare north,"$42,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Honda Fit 2002,Fit GD1 Super Clean,155000 kms,Petrol,Automatic,harare west,"$5,900",,+263773025268,Mars Motors
Toyota Prado 2017,Toyota Landcruiser Prado 7-Seater SUV - 2017,215455 kms,Diesel,Automatic,harare north,"$55,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Hino 300 Series 2024,Brand new,50 kms,Diesel,Manual,harare cbd,"$49,500",negotiable,+263777307423,One Stop Auto
Nissan X-Trail 2019,"Nissan X -Trail
Non Hybrid
Recent Import
7Seate...",71000 kms,Petrol,Automatic,harare east,"$21,000",,+263772312556,Rally Motoring World
Ford Raptor 2022,Ford Raptor,30000 kms,Petrol,Automatic,harare cbd,"$98,000",,+263785260810,Bargain Cars
Mercedes Benz E-Class 2010,Mercedes-Benz E350 CDi Blue Efficiency Sedan - 2010,84850 kms,Diesel,Automatic,harare north,"$18,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Mercedes Benz V-Class 2015,Mercedes Benz,88512 kms,Diesel,Automatic,harare east,"$58,000",negotiable,+263783590808,Masons Motors
Chevrolet Captiva 2015,Chevrolet Captiva LT 7-Seater SUV - 2015,149815 kms,Petrol,Other,harare north,"$15,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Land Cruiser 2017,"Toyota LandCruiser 76Series
2017 Model
Manual Tr...",Diesel,Manual,harare north,,"$34,800",negotiable,+263785766437,Patch Auto Dealership
VW 2020,VW T-Cross 2020 Model Auto Mileage 79000km Petrol...,79000 kms,Petrol,Automatic,harare east,"$20,000",negotiable,+263773476723,Stone River Motors
Rolls royce Chronicles 2022,Rolls Roys Cullinan,50000 kms,Petrol,Automatic,harare east,"$650,000",negotiable,+263776621574,King Car Sales
Toyota Hilux 2026,Toyota Hilux Travo,100 kms,Diesel,Automatic,harare cbd,"$105,000",,+263785260810,Bargain Cars
Ford Raptor 2023,Ford Raptor,17000 kms,Petrol,Automatic,harare cbd,"$95,000",,+263785260810,Bargain Cars
Mazda CX-5 2013,Mazda CX-5 Skyactiv Technology 5-Seater SUV - 2013,86405 kms,Diesel,Automatic,harare north,"$16,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Fortuner 2009,Toyota Fortuner 2.7 VVT-I SUV - 2009,255180 kms,Petrol,Automatic,harare north,"$11,500",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Hilux 2020,"A well looked after single cab,extras include allo...",81000 kms,Diesel,Manual,bulawayo cbd industrial,"$34,500",,+263774178866,Motordeals
Toyota Hilux 2026,Toyota Travo Pre Runner,13 kms,Diesel,Automatic,harare cbd,"$75,800",negotiable,+263717627971,Classic Auto Trader
Mercedes Benz GLE53S 2022,Mercedes benz gle53,34000 kms,Petrol,Automatic,harare cbd,"$140,000",negotiable,+263773382019,Fincron Motors
Toyota Hilux 2022,"Quick sale ‼️‼️
*Make : Toyota*
*Model : Hilux 2...",43000 kms,Diesel,Automatic,harare east,"$60,000",negotiable,+263773476723,Stone River Motors
Mercedes Benz C-Class 2016,2016 Model Recent W205 Mercedes Benz C200 Panarom...,43886 kms,Petrol,Automatic,harare cbd,"$24,800",negotiable,+263717627971,Classic Auto Trader
Isuzu KB300 2017,Isuzu KB300,152512 kms,Diesel,Automatic,harare east,"$36,000",negotiable,+263783590808,Masons Motors
Mercedes Benz C-Class 2013,"Mercedes Benz C180 Edition-C
W204 Facelift
2013...",Petrol,Automatic,harare north,,"$13,000",,+263785766437,Patch Auto Dealership
Toyota Alphard 2020,Toyota Alphard 2020 model luxurious SUV,Petrol,Automatic,harare east,,"$34,000",negotiable,+263773476723,Stone River Motors
Toyota Noah 2008,"Toyota Noah 
7 Seater
Sealed Engine 
Solid Susp...",178000 kms,Petrol,Automatic,harare east,"$8,000",,+263772312556,Rally Motoring World
Ford 1997,Ford Lincoln Mark VIII 32V Intech V8 Left Hand Drive Coupe - 1997,282830 kms,Petrol,Automatic,harare north,"$4,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Chevrolet Aveo 2006,Chevrolet Aveo,241001 kms,Petrol,Automatic,harare high density,"$4,499",negotiable,+263718959389,Shimano Car Breaking & Spares
Mazda BT-50 2020,Mazda BT-50,8018 kms,Diesel,Automatic,harare cbd,"$42,000",,+263785260810,Bargain Cars
Toyota Sienta 2017,Toyota Sienta,95000 kms,Petrol,Automatic,harare east,"$11,900",,+263719094829,ACS Auto
Toyota Probox 2020,"Toyota Probox Hybrid 
1 NZ -Fe Engine 
Duty Full...",90000 kms,Petrol,Automatic,harare east,"$12,000",,+263772312556,Rally Motoring World
Jeep Grand Cherokee 2012,Jeep Grand Cherokee 4x4 Linited SUV - 2012,212620 kms,Petrol,Automatic,harare north,"$12,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Mercedes Benz S-Class 2002,"Mercedes Benz S320
2002 Model
Automatic Transmis...",133000 kms,Petrol,Automatic,harare north,"$6,800",negotiable,+263785766437,Patch Auto Dealership
Nissan Caravan 2018,nissan caravan,85758 kms,Diesel,Automatic,harare north,"$20,000                                                                                                                                                                                      $21300",negotiable,+263789252533,MTW Auto
Range rover Sport 2024,Range Rover Autobiography,29000 kms,Petrol,Automatic,harare cbd,"$150,000",,+263785260810,Bargain Cars
Toyota Axio 2017,"Toyota Axio
2017 model
68000km
Automatic
Hybri...",68000 kms,Hybrid,Automatic,harare south,"$11,800",,+263773048426,KM Motors
Mazda BT-50 2020,Mazda BT-50 4x4 Double Cab - 2020,91910 kms,Diesel,Manual,harare north,"$25,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Honda Vezel 2016,"Honda Vezel Hybrid
2016 Model
Automatic Transmis...",99000 kms,Petrol,Automatic,harare north,"$17,800",negotiable,+263785766437,Patch Auto Dealership
Nissan Qashqai 2008,NISSAN QASHAI,1 kms,Diesel,Manual,harare east,"$7,900",,+263774885378,BG Auctions
Toyota Hilux GD6 2016,Toyota hilux GD6,128000 kms,Diesel,Automatic,harare cbd,"$30,000",,+263785260810,Bargain Cars
Honda 2016,Honda Fit Hybrid,64508 kms,Petrol,Automatic,harare north,"$13,500",,+263789252533,MTW Auto
Nissan Navara 2012,Nissan Navara XE Eco-Loader Common Rail VN Turbo Single Cab - 2012,124920 kms,Diesel,Manual,harare north,"$14,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Mazda CX5 2016,Mazda CX5,88350 kms,Diesel,Automatic,harare north,"$15,500",negotiable,+263772809485,Luxury Auto
Toyota Rav4 2009,Toyota Rav 4,115990 kms,Petrol,Automatic,harare high density,"$11,998",negotiable,+263718959389,Shimano Car Breaking & Spares
Nissan Civillian 1989,Nissan Civillian 26 Seater Bus - 1989,294025 kms,Diesel,Manual,harare north,"$16,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Land Rover Discovery 2019,Pearl white Land Rover Discovery 5 – Diesel | Low Mileage | Excellent Condition,87300 kms,Diesel,Automatic,harare north,"$34,000",negotiable,+263771133546,
Toyota Coaster 2016,"Toyota Coaster/Hino Liesse
29 Seater
Ideal for S...",93000 kms,Diesel,Automatic,harare east,"$55,000",,+263772312556,Rally Motoring World
Toyota Vanguard 2015,Toyota vanguard,116944 kms,Petrol,Automatic,harare high density,"$10,999",negotiable,+263718959389,Shimano Car Breaking & Spares
Toyota Land Cruiser 2024,2024 Toyota Land Cruiser 250 Series GX,4000 kms,Diesel,Automatic,harare east,"$86,000",,+263771529531,Harris Auto
Toyota Land Cruiser 2016,Toyota Landcruiser,57911 kms,Diesel,Manual,harare east,"$52,000",negotiable,+263783590808,Masons Motors
Honda Vezel 2017,Honda Vezel,58735 kms,Hybrid,Automatic,harare east,"$19,500",negotiable,+263783590808,Masons Motors
Honda Jade 2017,"Honda Jade Hybrid
2017 Model
Automatic Transmiss...",102000 kms,Hybrid,Automatic,harare north,"$15,500",negotiable,+263785766437,Patch Auto Dealership
Volvo XC60 2010,Volvo XC60 AWD SUV - 2010,97150 kms,Diesel,Other,harare north,"$17,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Ford Ranger 2014,Ford Ranger 4x4 Double Cab - 2014,181935 kms,Diesel,Manual,harare north,"$18,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Peugeot Partner 2004,Peugeot Partner Panel Van - 2004,276235 kms,Diesel,Manual,harare north,"$2,900",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Passo 2017,Toyota Passo,61420 kms,Petrol,Automatic,harare east,"$9,700",negotiable,+263783590808,Masons Motors
Toyota Rav4 2019,Toyota Rav 4 VX,65331 kms,Petrol,Automatic,harare cbd,"$31,800",negotiable,+263717627971,Classic Auto Trader
Foton 2025,Foton Tunland G7 Double cab,888 kms,Petrol,Automatic,harare east,"$49,000",negotiable,+263778826487,
Mazda CX5 2016,Mazda CX5,96700 kms,Diesel,Automatic,harare north,"$16,500",negotiable,+263772809485,Luxury Auto
Toyota Harrier 2017,"Toyota Harrier New Shape
Recent Import
Duty Full...",80000 kms,Petrol,Automatic,harare east,"$27,000",,+263772312556,Rally Motoring World
Nissan NP300 2019,Nissan NP300 4X4,115000 kms,Diesel,Manual,harare cbd,"$19,800",negotiable,+263717627971,Classic Auto Trader
Dodge Nitro 2011,Dodge Nitro CRD,124663 kms,Diesel,Automatic,harare cbd,"$10,800",negotiable,+263717627971,Classic Auto Trader
Toyota Land Cruiser 2024,"TOYOTA LANDCRUISER LC300
YEAR 2024
DELIVERY MILE...",Diesel,Automatic,harare east,,"$145,000",negotiable,+263773476723,Stone River Motors
Honda Fit 2009,"Honda Fit GE6
2009 Model
Automatic Transmission...",103000 kms,Petrol,Automatic,harare north,"$7,200",negotiable,+263785766437,Patch Auto Dealership
Toyota Land Cruiser 2013,Toyota landcruiser,192245 kms,Diesel,Automatic,harare high density,"$34,998",,+263718959389,Shimano Car Breaking & Spares
Isuzu KB300 2007,ISUZU KB 300 LX,2 kms,Diesel,Manual,harare east,"$6,300",negotiable,+263774885378,BG Auctions
Mazda Axela 2016,"Mazda Axela Sport 
2016 model
65000km
1.490cc d...",65000 kms,Diesel,Automatic,harare south,"$11,800",negotiable,+263773048426,KM Motors
Toyota Fortuner 2021,"2021 Toyota Fortuner ,4x4 2.8 Automatic, Diesel, M...",80784 kms,Diesel,Automatic,harare east,"$52,000",,+263771529531,Harris Auto
Mercedes Benz C-Class 2017,"Merc Benz C200 
274Engine
Low Mileage 
Recent i...",63000 kms,Petrol,Automatic,harare east,"$25,000",,+263772312556,Rally Motoring World
Mazda CX-5 2017,"Madza CX5 new shape 
Recently Registered
High Cl...",110000 kms,Diesel,Manual,harare east,"$19,000",negotiable,+263772312556,Rally Motoring World
Honda Grace 2016,"Honda Grace Hybrid
Recent Import
Full Fabric Int...",62000 kms,Petrol,Automatic,harare east,"$12,500",,+263772312556,Rally Motoring World
Toyota Hilux 2024,Toyota hilux,31000 kms,Diesel,Automatic,harare cbd,"$65,000",,+263785260810,Bargain Cars
Toyota C-HR 2017,Toyota CHR,123480 kms,Hybrid,Automatic,harare east,"$20,500",negotiable,+263783590808,Masons Motors
Mercedes Benz E-Class 2022,Mercedes E53,5400 kms,Automatic,harare west,,"$115,000",negotiable,+263772391962,Abdul
Toyota Hilux 2017,"2017 Toyota hilux GD6 
- 2.8l 
- King cab
-Manu...",90000 kms,Diesel,Manual,harare cbd,"$37,500",,+263785260810,Bargain Cars
Mazda Demio 2017,"Recently imported 
Mazda Demio 
1.3liter petrol...",83000 kms,Petrol,Automatic,bulawayo cbd industrial,"$11,000",,+263774178866,Motordeals
BMW 1 Series 2018,"BMW 118d
2018 model
66118km
Diesel engine 
Hal...",66117 kms,Diesel,Automatic,harare south,"$12,500",negotiable,+263773048426,KM Motors
Mini cooper r57 2014,mini cooper,72000 kms,Petrol,Automatic,harare cbd,"$20,000",,+263775336408,Macalline Office  Furnitures
Toyota Land Cruiser 2020,TOYOTA LANDCRUISER 200 series,45000 kms,Diesel,Automatic,harare cbd,"$85,000",,+263773382019,Fincron Motors
Toyota Prado 2025,"Toyota Land Cruiser Prado ZX
Model: Toyota Land C...",520 kms,Diesel,Automatic,harare south,"$118,000",negotiable,+263773048426,KM Motors
Isuzu KB250 2018,Isuzu KB250 Single Cab - 2018,325845 kms,Diesel,Manual,harare north,"$16,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Toyota Yaris 2021,Yaris Cross Hybrid,55280 kms,Petrol,Automatic,harare north,"$25,000",,+263789252533,MTW Auto
Toyota Hilux 2026,Toyota hilux Travo,100 kms,Diesel,Automatic,harare cbd,"$105,000",,+263785260810,Bargain Cars
Mercedes Benz C-Class 2016,Mercedes Benz 205 coupe,147652 kms,Petrol,Automatic,harare east,"$20,500                                                                                                                                                  $22000",negotiable,+263776621574,King Car Sales
Mercedes Benz GLC 2017,"Mercedes Benz GLC 220d 4-Matic Coupe Edition
Mode...",51761 kms,Diesel,Automatic,harare south,"$40,000",negotiable,+263773048426,KM Motors
Toyota Legend 2019,Toyota legend 50 South African make,79852 kms,Diesel,Automatic,harare cbd,"$52,800",negotiable,+263717627971,Classic Auto Trader
Toyota Landcruiser 2017,Toyota Landcruiser 76 series,159000 kms,Diesel,Manual,harare cbd,"$40,000",,+263785260810,Bargain Cars
Honda 2016,Honda Fit Hybrid,61240 kms,Petrol,Automatic,harare north,"$13,500",,+263789252533,MTW Auto
Mazda Demio 2016,Mazda Demio,56000 kms,Diesel,Automatic,harare north,"$10,300",negotiable,+263785766437,Patch Auto Dealership
Ford Ranger 2015,Ford Ranger Hi Rider Wildtrak 2.2 6 Auto Double Cab - 2015,141320 kms,Diesel,Automatic,harare north,"$20,000",,+263772295658,Arundel Park Auto  -  Chris's Car Sales
Mazda Axela 2010,Mazda  Axela  Sport,149007 kms,Petrol,Automatic,harare cbd,"$5,400",,+263772719986,
Range rover 2014,"Range Rover Autobiography SDV8
2014 Model
Automa...",120000 kms,Diesel,Automatic,harare north,"$50,000",negotiable,+263785766437,Patch Auto Dealership
